,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.30.100.1110,"Firme de 10 cm de espesor de concreto fabricado en obra f´c = 200 kg/cm², tma = 19 mm, armado con malla electrosoldada 6,6 / 10-10,  para recibir acabado. Incluye: compactación de terreno, trazo, habilitados de malla, separadores, cimbra en fronteras, curado y limpieza.",m2,51.00
UEC.UB.10.150.1020,"Corte con disco de 1 a 3 cm de profundidad en pavimento de concreto hidráulico. Incluye: trazo, guía y limpieza.",m,25.00
A0603,MUROS,,
UEC.ED.30.135.1150,"Muro de 14 cm de espesor construido con tabique de barro 7 x 14 x 28 cm, asentado con mortero cemento-arena proporción 1:5 con junta de 1 cm acabado común, hasta 3.50 m de altura. Incluye: trazo, nivelación, plomeado, andamiaje y limpieza.",m2,27.58
A07,ACABADOS,,
A0701,ACABADOS DE PISO,,
UEC.ED.78.110.1010,"Piso de loseta cerámica primera calidad, de 40 x 40 cm, con boquilla sin arena de 3 mm de espesor. Incluye: nivelación, dimensionamiento, cortes, cemento adhesivo, junteado con boquilla y limpieza.",m2,49.30
A0702,ACABADOS DE MURO,,
UEC.ED.30.205.1230,"Aplanado de 2 cm de espesor a base de mortero cemento-arena proporción 1:5 acabado fino, en muro a 3.50 m de altura. Incluye: preparación de la superficie, mezcla, aplicación, plomeado, andamiaje y limpieza.",m2,67.54
UEC.ED.30.215.1020,"Emboquillado de 17 cm de 2 cm de espesor a base de mortero cemento-arena proporción 1:5. Incluye: preparación de la superficie, mezcla, aplicación, plomeado, andamiaje y limpieza.",m,11.76
UEC.ED.78.150.1010,"Pintura en muros, columnas y castillos, tipo 100% acrílica primera calidad, lavable, considerando dos manos de pintura y una mano de sellador acrílico 5x1, hasta 3.50 m de altura. Incluye: andamiaje, preparación de la superficie.",m2,135.02
A0703,ACABADOS DE PLAFÓN,,
UEC.ED.30.210.1230,"Aplanado de 2 cm de espesor a base de mortero cemento-arena proporción 1:5 acabado fino, en plafón hasta 3.50 m de altura. Incluye: preparación de la superficie, mezcla, aplicación, plomeado, andamiaje y limpieza.",m2,81.18
UEC.ED.78.150.1015,"Pintura en faldones, trabes y plafones, tipo 100% acrílica primera calidad, lavable, considerando dos manos de pintura y una mano de sellador acrílico 5x1, hasta 3.50 m de altura. Incluye: andamiaje, preparación de la superficie.",m2,131.47
A0704,ACABADOS DE AZOTEA,,
UEC.ED.98.125.1010,"Impermeabilizante prefabricado de 4 mm de espesor, APP o SBS, con refuerzo de poliéster 180 gr/m2, elongación mínima de 45%, acabado aparente con gravilla color terracota, marca Imperquimia o similar en calidad, costo y garantía, garantía por escrito de 10 años, colocado a cualquier altura. Incluye: preparación de la superficie, dimensionamiento y limpieza.",m2,89.40
A0705,CANCELERÍA,,
AU2EE.82.UED.1001,"Ventana de aluminio de 2.95x1.30 m, anodizado natural de 2"" marca CUPRUM, o similar en calidad, costo y garantía, dividida en 8 secciones, con 4 fijos y 4 corredizos, (sin cristal). Incluye: trazo, rectificación de vano, dimensionamiento, selección de perfiles, cortes, presentación, ensamblado, sellado entre ventana y vano con material acrílico de primera calidad, accesorios, repizón, fijación y pruebas.",Pieza,2.00
AU2EE.82.UED.1002,"Ventana de aluminio de 1.75x1.30 m, anodizado natural de 2"" marca CUPRUM, o similar en calidad, costo y garantía, dividida en 4 secciones, con 2 fijos y 2 corredizos, (sin cristal). Incluye: trazo, rectificación de vano, dimensionamiento, selección de perfiles, cortes, presentación, ensamblado, sellado entre ventana y vano con material acrílico de primera calidad, accesorios, repizón, fijación y pruebas.",Pieza,1.00
AU2EE.82.UED.1003,"Ventana de aluminio de 2.95x0.40 m, anodizado natural de 2"" marca CUPRUM, o similar en calidad, costo y garantía, dividida en 3 secciones, con 2 fijos y 1 corredizo, (sin cristal). Incluye: trazo, rectificación de vano, dimensionamiento, selección de perfiles, cortes, presentación, ensamblado, sellado entre ventana y vano con material acrílico de primera calidad, accesorios, repizón, fijación y pruebas.",Pieza,1.00
UEC.ED.80.105.1010,"Cristal claro de 6 mm de espesor, instalado en ventanas o cancelería. Incluye: dimensionamiento, cortes, presentación, sellado con material acrílico de primera calidad y fijación.",m2,11.13
A0706,HERRERÍA,,
UEC.ED.86.125.1050,"Herrería para puertas de hasta 125 kg, a base de perfiles comerciales de acero. Incluye: trazo, dimensionamiento, cortes, soldadura, primario de taller, presentación, nivelación y fijación.",kg,94.01
UEC.ED.86.115.1110,"Herrería para ventanas y protecciones de hasta 125 kg a base de perfiles comerciales de acero. Incluye: trazo, dimensionamiento, cortes, soldadura, primario de taller, presentación, nivelación y fijación.",kg,373.29
UEC.ED.78.155.1015,"Pintura de esmalte primera calidad en superficies metálicas, a cualquier altura. Incluye: preparación de la superficie, dilución, aplicación a dos manos hasta cubrir perfectamente la superficie, andamiaje y limpieza.",kg,467.30
AU2EE.86.UED.1001,"Bisagras de libro con baleros para marcos de madera, fierro y aluminio de 3"" x 3"", acabado de acuerdo a proyecto. Incluye: presentación, fijación y limpieza.",Pieza,4.00
AU2EE.86.UED.1002,"Cerradura de manija de sobreponer, con mecanismo cilindrico para puertas de madera o metálicas,  especificaciones de acuerdo a proyecto. Incluye: presentación, fijación y limpieza.",Pieza,1.00
AU2EE.86.UED.1003,"Cerradura de alta seguridad de sobreponer de barra chica para puertas de madera o metálicas, llave de puntos de 5 pernos, especificaciones de acuerdo a proyecto. Incluye: presentación, fijación y limpieza.",Pieza,2.00
AU2EE.86.UED.1004,"Tope esferico de piso para puerta media luna de acero inoxidable, especificaciones de acuerdo a proyecto. Incluye: presentación, fijación y limpieza.",Pieza,1.00
A0707,MUEBLES DE DISEÑO,,
AU2EE.30.UED.1001,"Repisa de 294x120x35 cm a base de concreto fabricado en obra f'c= 150 kg/cm2, tma 19 mm (3/4""), de 7 cm de espesor, dividida en 4 secciones, armada con malla electrosoldada 6x6-10/10 y reforzada en marco lateral con varillas de 3/8"", bastones con varillas de 3/8"" a cada 40 cm anclados a cadena, 2 manos de pintura tipo esmalte y 1 mano de sellador acrílico 5x1 primera calidad, acabado pulido, Incluye: habilitado, cortes, dobleces, traslapes, cimbra aparente, colado, curado, vibrado, retiro de cimbra.",Pieza,1.00
AU2EE.30.UED.1002,"Repisa de 294x85x35 cm a base de concreto fabricado en obra f'c= 150 kg/cm2, tma 19 mm (3/4""), de 7 cm de espesor, dividida en 2 secciones, armada con malla electrosoldada 6x6-10/10 y reforzada en marco lateral con varillas de 3/8"", bastones con varilla de 3/8"" a cada 40 cm anclados a cadena, 2 manos de pintura tipo esmalte y 1 mano de sellador acrílico 5x1 primera calidad, acabado pulido, Incluye: habilitado, cortes, dobleces, traslapes, cimbra aparente, colado, curado, vibrado, retiro de cimbra.",Pieza,1.00
AU2EE.30.UED.1003,"Repisa de 294x35 cm a base de concreto fabricado en obra f'c= 150 kg/cm2, tma 19 mm (3/4""), de 7 cm de espesor, armada con malla electrosoldada 6x6-10/10 y reforzada en marco lateral con varillas de 3/8"", bastones con varillas de 3/8"" a cada 40 cm anclados a cadena, 2 manos de pintura tipo esmalte y 1 mano de sellador acrílico 5x1 primera calidad, acabado pulido, Incluye: habilitado, cortes, dobleces, traslapes, cimbra aparente, colado, curado, vibrado, retiro de cimbra.",Pieza,1.00
A0708,SEÑALÉTICA,,
UEC.ED.92.100.1010,"Señalamiento para ruta de evacuación de 20x25 cm, de lámina de PVC en color verde como fondo y en blanco como contraste, colocados sobre muro, incluye: taquetes de fijación. norma NOM-03-SEGOB-2011 y NOM-026-STPS-2008.",Pieza,2.00
UEC.ED.92.100.1015,"Señalamiento para ubicación de extintor contra incendio de 20x25 cm, de lámina de PVC en color rojo como fondo y en blanco como contraste, colocados sobre muro, incluye: taquetes de fijación. norma NOM-03-SEGOB-2011 y NOM-026-STPS-2008.",Pieza,1.00
UEC.ED.92.100.1020,"Señalamiento para ubicación del punto de reunión de 35x35 cm, de lámina de PVC en color verde como fondo y en blanco como contraste, colocados sobre muro, incluye: taquetes de fijación. norma NOM-03-SEGOB-2011 y NOM-026-STPS-2008.",Pieza,1.00
UEC.ED.92.100.1025,"Señalamiento para ubicación del punto de reunión de 1.00x1.00 m, con pintura epóxica en colores verde como fondo y blanco como contraste, pintado sobre firme de concreto, incluye: trazo y aplicación. norma NOM-03-SEGOB-2011 y NOM-026-STPS-2008.",Pieza,1.00
AU2EE.94.UED.1001,"Logotipo representativo de gobierno del estado, rotulado sobre muro de fachada y/o cabecero, a base de pintura de esmalte., con dimensiones, color y diseño de acuerdo a las especificaciones y tipografia establecidas en el manual de identidad vigente.",m2,3.06
A0709,LIMPIEZAS,,
UEC.ED.100.115.1010,"Limpieza general de la obra para entrega de espacio, incluye: limpieza de pisos, vidrios, muros, herrerías, plafones, etc.",m2,131.30
A08,INSTALACIÓN ELÉCTRICA,,
A0801,TABLEROS ELÉCTRICOS E INTERRUPTORES,,
UEC.ED.46.225.1220,"Centro de carga tipo QOD, con zapatas principales, con 4 espacios, 60A, 2F-3H, para empotrar, catalogo QOD4F, marca SQUARE D  o similar en calidad, costo y garantía. Incluye: Trazo, montaje, ensamblado, etiquetado, peinado de cables, arranque y pruebas.",Pieza,1.00
UEC.ED.46.245.1005,"Interruptor termomagnético tipo QO, enchufable, 120/240 V, 10,000 A simétricos, de 1 polo, 10 A marca SQUARE'D, catalogo QO110, o similar en calidad, costo y garantía, a cualquier altura. Incluye: montaje, ensamblado y arranque.",Pieza,1.00
UEC.ED.46.245.1010,"Interruptor termomagnético tipo QO, enchufable, 120/240 V, 10,000 A simétricos, de 1 polo, 15 A marca SQUARE'D, catalogo QO115, o similar en calidad, costo y garantía, a cualquier altura. Incluye: montaje, ensamblado y arranque.",Pieza,1.00
UEC.ED.46.245.1253,"Interruptor termomagnético tipo QOB, atornillable, 120/240 V, 10,000 A simétricos, de 2 polos, 15 A marca SQUARE'D, catalogo QOB215, o similar en calidad, costo y garantía, a cualquier altura. Incluye: montaje, ensamblado y arranque.",Pieza,1.00
A0802,ALUMBRADO EN SISTEMA NORMAL,,
UEC.ED.43.110.1115,"Tubo poliducto corrugado extra resistente de 19 mm diámetro comercial, 21 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,46.00
UEC.ED.46.102.1015,"Cable de cobre suave electrolítico con aislamiento de PVC tipo THW-LS/THHW-LS 90°C, 600V, calibre No 12 AWG, libre de sustancias peligrosas (RoHS), marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,138.00
UEC.ED.43.175.1070,"Caja de conexiones eléctricas, tipo chalupa de PVC de 10 x 5 cm, para tubería de 13 mm y 19 mm, a cualquier altura. Incluye: presentación, colocación, fijación y conexión a tubería.",Pieza,2.00
UEC.ED.43.175.1080,"Caja de conexiones eléctricas de PVC de 10 x 10 cm, para tubería de 13 mm y 19 mm, a cualquier altura. Incluye: presentación, colocación, fijación y conexión a tubería.",Pieza,8.00
AU2EE.46.UED.1001,"Apagador sencillo de 16 A, 127/277 V, 60 Hz, resistente al impacto, color blanco, especificaciones de acuerdo a proyecto, a cualquier altura. Incluye: montaje, ensamblado, nivelación y pruebas.",Pieza,3.00
AU2EE.46.UED.1002,"Placa de un modulo de resina con accesorios, color blanco, especificaciones de acuerdo a proyecto, a cualquier altura. Incluye: presentación, alineación y fijación a caja.",Pieza,1.00
AU2EE.46.UED.1003,"Placa de dos modulo de resina con accesorios, color blanco, especificaciones de acuerdo a proyecto, a cualquier altura. Incluye: presentación, alineación y fijación a caja.",Pieza,1.00
AU2EE.56.UED.1002,"Luminaria en gabinete de sobreponer de 1.22 m x 0.30 m, diodo emisor led, con las siguientes características: flujo luminoso de 4000 a 5400 lm, rango de potencia de consumo de 36-50 W, driver de operación multivoltaje 120/277 V, factor de potencia mínimo 0.9, temperatura de color neutra máximo: 4000-4100 °K, CRI mínimo 80, opcional driver dimeable de 0-10 V, carcasa fabricada en lámina de acero rolada en frio con acabado de esmalte blanco, difusor opalina de acrílico extruido, certificación UL/ANCE, vida útil mínima de 50,000 horas., promedio al 100%, garantía por escrito mínima de 5 años, incluye: andamiaje, conexiones, correcto funcionamiento y elementos de fijación.",Pieza,7.00
AU2EE.56.UED.1001,"luminaria en gabinete de sobreponer, diodo emisor led, 2 altavoces inalámbricos integrados en el gabinete, controlados por bluetooth, con las siguientes características: - vida util mínima de 50,000 hrs., promedio al 100%, - garantía por escrito mínima de 5 años, - flujo luminoso de 3600 a 4000 lumen, - rango de potencia de consumo de 30-40 watts, – dimensiones maximas largo 122 cm x ancho 6.5 cm., - driver de operación 120 volts, - temperatura de color neutra máximo: 4000-4100° k, cri mínimo 80, - carcasa de policarbonato, - certificación ul / ance o similar en calidad, costo y garantia, incluye:  andamiaje, conexiones, correcto funcionamiento y elementos de fijación.",Pieza,1.00
A0803,CONTACTOS EN SISTEMA NORMAL,,
UEC.ED.43.110.1115,"Tubo poliducto corrugado extra resistente de 19 mm diámetro comercial, 21 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,40.00
UEC.ED.46.102.1020,"Cable de cobre suave electrolítico con aislamiento de PVC tipo THW-LS/THHW-LS 90°C, 600V, calibre No 10 AWG, libre de sustancias peligrosas (RoHS), marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,120.00
UEC.ED.43.175.1070,"Caja de conexiones eléctricas, tipo chalupa de PVC de 10 x 5 cm, para tubería de 13 mm y 19 mm, a cualquier altura. Incluye: presentación, colocación, fijación y conexión a tubería.",Pieza,5.00
AU2EE.46.UED.1004,"Contacto duplex, tamper-resistant, puesta a tierra automatica, 2P+T, 20 A, 125 V, 60 Hz, uso comercial, color blanco, especificaciones de acuerdo a proyecto, a cualquier altura. Incluye: montaje, ensamblado, nivelación y pruebas.",Pieza,5.00
AU2EE.46.UED.1005,"Placa de pared, una ventana, de nylon, color blanca, especificaciones de acuerdo a proyecto, a cualquier altura. Incluye: presentación, alineación y fijación a caja.",Pieza,5.00
A0804,ALIMENTACIÓN ELÉCTRICA A EQUIPOS,,
AU2EE.46.UED.1006,"Registro eléctrico de fibra de vidrio de 40x40x60 cm, con espesor de 1/8"" (0.3175 cm) con marco y tapa de concreto polimérico f'c=800 kg/cm2, reforzado con fibra de vidrio, marca MIT CONCRETO o similar en calidad, costo y garantía, Incluye: trazo, nivelación, excavación, filtro de grava triturada de 3/4"" de 40 cm de profundidad y limpieza.",Pieza,1.00
UEC.ED.46.255.1010,"Varilla de tierra de 3.05 m de longitud, de 5/8"" de diámetro, marca COPPER WELD o similar en calidad, costo y garantía. Incluye: enterrado y conexión a cable de tierra.",Pieza,1.00
UEC.ED.43.110.1120,"Tubo poliducto corrugado extra resistente de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,10.00
A0805,INSTALACIÓN SOLAR FOTOVOLTAICA,,
UEC.ED.43.110.1120,"Tubo poliducto corrugado extra resistente de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,5.00
AU2EE.46.UED.1007,"Kit solar fotovoltaico interconectado con microinversor. Incluye: de 2 paneles solares tipo monocristalino ó policrisalino, con rango de 360 a 385 watts por cada panel; 1 microinversor, 1 dispositivo controlador de datos por internet, base de estructura soporte de aluminio, kit de material electrico, mano de obra con certificado como proveedor verificado ANCE, equipo para la correcta instalación y puesta en marcha de la planta solar y registro en internet para su monitoreo para cumplir con los requerimientos físicos, técnicos y de seguridad que solicita C.F.E. para la interconexión a la red, medidor y contrato.",Kit,1.00
UEC.ED.86.115.1110,"Herrería para ventanas y protecciones de hasta 125 kg a base de perfiles comerciales de acero. Incluye: trazo, dimensionamiento, cortes, soldadura, primario de taller, presentación, nivelación y fijación.",kg,38.27
UEC.ED.78.155.1015,"Pintura de esmalte primera calidad en superficies metálicas, a cualquier altura. Incluye: preparación de la superficie, dilución, aplicación a dos manos hasta cubrir perfectamente la superficie, andamiaje y limpieza.",kg,38.27
A09,INSTALACIÓN CONTRA INCENDIO,,
A0901,EQUIPOS Y ACCESORIOS,,
UEC.UB.18.115.1010,"Extintor sistema de polvo químico seco, capacidad de 6 kg, tiempo de descarga de 8 a 25 segundos, alcances de descarga de 3.00 m mínimo, incluye: presentación, alineación, gancho de sujeción a 1.50 m de altura y fijación. NOM-002-STPS-2010, NOM-154-SCFI-2005.",Pieza,1.00
