,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.46.102.1015,"Cable de cobre suave electrolítico con aislamiento de PVC tipo THW-LS/THHW-LS 90°C, 600V, calibre No 12 AWG, libre de sustancias peligrosas (RoHS), marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,47.25
TECHADO.IE.04,"Condulet de aluminio serie rectangular, serie FS para tubo de 13 mm, marca CROUSE-HINDS EATON, Catalogo FS1, o similar en calidad, costo y garantía, a cualquier altura. Incluye: fijación y conexión a tubos.",Pieza,1.00
UEC.ED.46.108.1055,"Cordón de uso rudo tipo SJT, de cobre suave con aislamiento de PVC 60°C, 300 V RoHS, con 3 conductores calibre No 12 AWG, marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,0.50
TECHADO.IE.05,"Conector recto para cable de uso rudo, catalogo CUR 12, marca ANCLO o similar en calidad, costo y garantía, a cualquier altura. Incluye: presentación y fijación a tubería u otras conexiones.",pieza,2.00
TECHADO.IE.02,"Luminaria led, tipo reflector,  grado de protección IP65, con driver integrado, vida útil de 25000 horas, tensión 100-305V, potencia de 70-100 W, flujo luminoso de 7500 a 10000 LM, temperatura de color 3000°K a 6000°K, 2 años de garantía, incluye: montaje en estructura, andamiaje, conexiones, certificación NOM-031, NOM-003, ANCE.",Pieza,4.00
TECHADO.IE.03,"Fotocontactor de alumbrado público monofásico, 127 V - 30 A, marca TORK o similar en calidad, costo y garantía, modelo 5403-S,  incluye: fotocelda modelo 2021-S,  interruptor termomagnético 1x15 A, presentación y fijación.",Pieza,1.00
UEC.ED.46.245.1010,"Interruptor termomagnético tipo QO, enchufable, 120/240 V, 10,000 A simétricos, de 1 polo, 15 A marca SQUARE'D, catalogo QO115, o similar en calidad, costo y garantía, a cualquier altura. Incluye: montaje, ensamblado y arranque.",Pieza,1.00
A0802,SISTEMA DE TIERRAS,,
UEC.ED.46.255.1010,"Varilla de tierra de 3.05 m de longitud, de 5/8"" de diámetro, marca COPPER WELD o similar en calidad, costo y garantía. Incluye: enterrado y conexión a cable de tierra.",Pieza,1.00
A09,INSTALACIÓN PLUVIAL,,
A0901,SOPORTERÍA,,
UEC.ED.22.160.1010,"Soportería a base de ángulo ASTM A36. Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, soldadura, primario de taller y limpieza.",kg,19.60
UEC.ED.36.100.1045,"Abrazadera tipo omega laminada galvanizada para tubo de 102 mm de diámetro, a cualquier altura. Incluye: trazo, presentación, elementos de fijación y limpieza.",Pieza,36.00
A0902,TUBERÍA Y PIEZAS ESPECIALES,,
UEC.ED.42.125.1225,"Codo de 45° para tubo de PVC sanitario cementar, de 100 mm de diámetro, de Norma, a cualquier altura. Incluye: trazo, nivelación, colocación, fijación, conexión con otros tubos o conexiones y limpieza.",Pieza,30.00
UEC.ED.42.120.1055,"Tubo de PVC sanitario cementar, extremos lisos, de 100 mm de diámetro, de Norma, a cualquier altura. Incluye: trazo, nivelación, colocación, fijación, conexión con otros tubos o conexiones y limpieza.",m,36.30
"NOTA: Los códigos identificados de manera diferente a los del Tabulador UEC, corresponden a conceptos de equipamientos o acabados que presentan variabilidad en sus modelos de manera constante, por lo que se consideran atípicos y no forman parte del mismo.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
