,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.OE.10.105.1015,"Estructura para tablero de basquetbol y portería de futbolito en cancha de usos múltiples, elaborada a base de tubo negro de acero (ASTMA-513) cédula 30 de3"" de diámetro (OC 76 mm) (peso aproximado de acero en estructura de 300 kg por pieza), ahogada en muertos de concreto, de acuerdo a plano, incluye: montaje, doblado, conexiones, soldadura AWS-electrodo E-70XX, cortes, sujeción, nivelación, maniobras, limpieza mecánica del elemento, aplicación de una capa de primario epóxico E-10, de dos milésimas de capa seca total y dos manos de pintura esmalte alquidálico primera calidad de alta duración de dos milésimas de capa seca total aplicada con pistola de aire, los colores se aplicaran de acuerdo a especificaciones en plano.",Pieza,2.00
UEC.OE.10.105.1010,"Tablero de básquetbol (ajustable en 45 cm de altura) medida oficial de 1.80x1.05 m, marco de PTR de 1 1/2""x1 1/2"", 4 refuerzos verticales de ángulo de 1 1/2"",2 guías verticales de PTR de 1 1/4"" y base deslizable con PTR de 1 1/2"", doble placa de 1/4"", una para base y otra a la estructura, marco de ángulo de aluminio de1 1/2"", perno roscado de 3/4"", lámina de acrílico trasparente de 1/2"" de espesor, aro retráctil de dimensiones oficiales de 45 cm de diámetro con fierro redondo de 3/4"" tipo spalding, red de hilo de 0.40 m de longitud, primer y esmalte primera calidad, en marco y base, manivela de ajuste a base de redondo de 1/2"" de diámetro de 2.00 m de altura, soldadura de la serie 60xx rotulación con vinil de acuerdo a diseño y colores indicados por la entidad normativa en materia de deporte. Incluye: piezas especiales y fijación.",Pieza,2.00
A0403,LIMPIEZAS,,
UEC.ED.100.115.1055,"Limpieza general al termino de la obra, incluye: retiros de materiales sobrantes en lugar especificado por la supervisión, equipo y herramienta.",m2,633.75
"NOTA: Los códigos identificados de manera diferente a los del Tabulador UEC, corresponden a conceptos de equipamientos o acabados que presentan variabilidad en sus modelos de manera constante, por lo que se consideran atípicos y no forman parte del mismo.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
