,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.100.115.1015,"Limpieza para entrega final de obra, al banco autorizado que elija el contratista. Incluye: retiro de material. N-CTR-CAR-1-01-013/00.",m2,480.61
C,DRENAJE SANITARIO,,
C01,PRELIMINARES,,
C0101,TRAZO Y NIVELACION,,
UEC.IH.18.110.1015,"Trazo y nivelación con equipo topográfico para la instalación de tuberías. Incluye: ubicación de bancos, niveles, trazo, marcas y señales, de conformidad con las Especificaciones de Construcción.",m,254.32
C02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
C0201,EXCAVACIONES,,
UEC.IH.18.135.1010,"Excavación con equipo en zanja en material tipo B en seco, de 0.00 a 2.00 m de profundidad, para tuberías. Incluye: delimitación de la zona, afloje y extracción del material, afine de taludes, fondo y conservación de la zanja hasta la instalación de la tubería, carga y acarreo libre a 20 m, de conformidad con las Especificaciones de Construcción.",m3,305.52
UEC.IH.18.130.1010,"Excavación manual en zanja en material tipo B en seco, de 0.00 a 2.00 m de profundidad, para tuberías. Incluye: delimitación de la zona, afloje y extracción del material, afine de taludes, fondo y conservación de la zanja hasta la instalación de la tubería, carga y acarreo libre a 20 m, de conformidad con las Especificaciones de Construcción.",m3,54.06
C0202,CARGAS Y ACARREOS,,
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,334.69
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"1,673.45"
C0203,RELLENOS,,
UEC.IH.18.140.1020,"Plantilla con grava triturada a cualquier profundidad, para obra hidráulica, en capas de hasta 15 cm. Incluye: selección del material, carga, acarreo, tiro en zona de relleno, de conformidad con las Especificaciones de Construcción.",m3,89.25
UEC.ED.12.125.1120,"Relleno semi-mecánico en zanja con material inerte, compactado al 95% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,129.80
UEC.ED.12.125.1105,"Relleno semi-mecánico en zanja con material producto de excavación, compactado al 90% de su PVSM en capas de 20 cm. Incluye: limpieza, selección, abundamiento, acarreo de material e incorporación de agua para compactar.",m3,102.13
C03,INSTALACIÓN SANITARIA,,
C0301,TUBERÍA Y PIEZAS ESPECIALES,,
UEC.IH.20.105.2120,"Suministro de tubería de PVC alcantarillado sanitario serie 20, de 250 mm de diámetro nominal, de acuerdo a la NOM-001-CONGUA-2011 y NMX-E-215/1-CNCP-2012; incluye: flete, acarreos y maniobras locales puesto L.A.B. en el almacén de la obra de la localidad, anillo empaque en parte proporcional.",m,254.32
UEC.IH.20.105.2520,"Instalación de tubería de PVC sanitario Tipo 35, Tipo 41, Tipo 51, Serie 25, Serie 20, Serie 16.5, de 250 mm de diámetro nominal; incluye: mano de obra, materiales de consumo, equipo para instalación, maniobras, acarreos locales, bajada, junteo y acomodo hasta su sitio final.",m,254.32
C0302,OBRA CIVIL,,
