,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.46.102.1015,"Cable de cobre suave electrolítico con aislamiento de PVC tipo THW-LS/THHW-LS 90°C, 600V, calibre No 12 AWG, libre de sustancias peligrosas (RoHS), marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,30.00
UEC.ED.46.118.1055,"Cable de cobre electrolítico semiduro desnudo, calibre No 12 AWG, marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,15.00
UEC.ED.46.108.1050,"Cordón de uso rudo tipo SJT, de cobre suave con aislamiento de PVC 60°C, 300 V RoHS, con 3 conductores calibre No 14 AWG, marca CONDUMEX o similar en calidad, costo y garantía, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres y empalmes con cinta aislante.",m,1.00
ESPUB.50.URB.1001,"Luminaria Vaportite Led de 4', marca METALUX, modelo 4APVTLD-40L850 o similar en calidad, costo y garantía. Incluye: andamiaje, conexiones, correcto funcionamiento y elementos de fijación.",Pieza,2.00
ESPUB.50.URB.1002,"Protección antivandálica a base de solera de 1/2"" x 1/8"", para luminaria de 129 x 1265 mm. Incluye: andamiaje, presentación, fijación y limpieza.",Pieza,2.00
UEC.ED.46.245.1053,"Interruptor termomagnético tipo QO, enchufable, 120/240 V, 10,000 A simétricos, de 2 polos, 15 A marca SQUARE D, catalogo QO215, o similar en calidad, costo y garantía, a cualquier altura. Incluye: montaje, ensamblado y arranque.",Pieza,2.00
UEC.ED.36.110.1015,"Riel unicanal liso de 4 x 4 cm tramo de 3 metros, a cualquier altura. Incluye: preparación, cortes, colocación, trazo, presentación, elementos de fijación y limpieza.",Pieza,1.00
UEC.ED.36.100.1105,"Abrazadera para unicanal galvanizada para tubo de 16 mm de diámetro, con tornillo, a cualquier altura. Incluye: trazo, presentación, elementos de fijación y limpieza.",Pieza,6.00
UEC.ED.46.225.1220,"Centro de carga tipo QOD, con zapatas principales, con 4 espacios, 60A, 2F-3H, para empotrar, catalogo QOD4F, marca SQUARE D  o similar en calidad, costo y garantía. Incluye: Trazo, montaje, ensamblado, etiquetado, peinado de cables, arranque y pruebas.",Pieza,1.00
ESPUB.50.URB.1003,"Luminario Night Falcon, marca LUMARK, modelo NFFLD-S-C15 o similar en calidad, costo y garantía. Incluye: andamiaje, conexiones, correcto funcionamiento y elementos de fijación.",Pieza,4.00
ESPUB.50.URB.1004,"Luminaria funcional antivandálica, marca ATP, modelo LIBRA A o similar en calidad, costo y garantía, potencia de 55 Watts. Incluye: andamiaje, conexiones, correcto funcionamiento y elementos de fijación.",Pieza,13.00
UEC.UB.50.120.1115,"Poste cónico circular, fabricado con lámina de acero rolado en caliente calibre 11, de 4.5 m de altura, acabado en pintura esmalte. Incluye: presentación, parado, plomeo, fijación y limpieza.",Pieza,13.00
UEC.UB.50.120.1160,"Poste cónico circular, fabricado con lámina de acero rolado en caliente calibre 11, de 9 m de altura, acabado en pintura esmalte. Incluye: presentación, plomeo, fijación y limpieza.",Pieza,2.00
UEC.UB.50.110.1020,"Base tipo pirámide prefabricado de concreto de 40 x 80 x 100 cm, marca CENMEX o similar en calidad, costo y garantía. Incluye: trazo, nivelación, excavación, relleno, compactación, acarreo fuera de obra de material sobrante y limpieza.",Pieza,15.00
